Naziv	Broj korisnika	Lon	Lat
DSLAM-705	47	16,174	46,1166
DSLAM-706	337	16,0638	45,9484
DSLAM-707	330	16,0351	46,1889
DSLAM-708	260	15,6273	46,2536
DSLAM-709	247	15,792	46,1604
DSLAM-710	51	15,6489	46,2276
DSLAM-711	242	15,7723	46,1997
DSLAM-712	334	15,819	46,3248
DSLAM-713	369	15,8655	46,3572
DSLAM-714	108	16,0672	46,0855
DSLAM-715	65	15,5276	46,387
DSLAM-716	190	15,8528	46,3014
DSLAM-717	240	15,7237	46,064
DSLAM-718	324	15,7123	46,2268
DSLAM-719	213	15,8073	46,0116
DSLAM-720	183	15,8718	46,2626
DSLAM-721	395	15,5525	46,1765
DSLAM-722	189	15,6912	46,054
DSLAM-723	280	16,2489	46,1939
DSLAM-724	143	15,7308	45,9979
DSLAM-725	379	15,8886	46,1072
DSLAM-726	349	15,7532	46,0009
DSLAM-727	117	16,0821	46,1348
DSLAM-728	81	15,9276	46,0192
DSLAM-729	265	15,9892	46,2712
DSLAM-730	331	16,0578	45,9841
DSLAM-731	331	16,1561	45,8999
DSLAM-732	67	16,1315	46,2804
DSLAM-733	241	15,9199	46,2352
DSLAM-734	76	15,7333	46,3207
DSLAM-735	226	16,6934	43,6407
DSLAM-736	95	16,1831	43,599
DSLAM-737	90	17,1066	43,4958
DSLAM-738	113	16,2389	43,5968
DSLAM-739	90	16,5836	43,4495
DSLAM-740	94	16,8369	43,6472
DSLAM-741	54	17,3836	43,3315
DSLAM-742	122	17,3715	43,1091
DSLAM-743	190	17,171	43,1143
DSLAM-744	247	16,3057	43,6927
DSLAM-745	201	16,6015	43,2213
DSLAM-746	251	17,167	43,2898
DSLAM-747	239	17,3938	43,0461
DSLAM-748	138	16,1779	43,6412
DSLAM-749	60	16,3076	43,4519
DSLAM-750	151	16,7095	43,5396
DSLAM-751	271	16,6823	43,3153
DSLAM-752	44	16,5878	43,7001
DSLAM-753	41	17,4113	43,0994
DSLAM-754	193	16,4167	43,3759
DSLAM-755	112	16,4107	43,3954
DSLAM-756	339	17,4874	43,1027
DSLAM-757	209	16,3419	43,677
DSLAM-758	62	16,7037	43,5938
DSLAM-759	239	16,9838	42,9748
DSLAM-760	41	16,5817	43,6596
DSLAM-761	91	16,8828	43,4816
DSLAM-762	308	17,0983	43,4171
DSLAM-763	65	17,3707	43,1276
DSLAM-764	319	16,3847	43,5895
DSLAM-765	47	16,3487	43,3423
DSLAM-766	157	17,034	43,3672
DSLAM-767	351	16,2799	45,1596
DSLAM-768	212	16,484	45,3642
DSLAM-769	132	16,8152	45,4111
DSLAM-770	114	16,3294	45,6057
DSLAM-771	76	16,7329	45,2954
DSLAM-772	75	16,688	45,7039
DSLAM-773	269	16,1639	45,3502
DSLAM-774	167	15,4817	44,7963
DSLAM-775	319	15,3698	45,8077
DSLAM-776	64	15,366	45,6103
DSLAM-777	41	15,3563	45,6872
DSLAM-778	170	15,5957	45,3989
DSLAM-779	157	15,811	45,5083
DSLAM-780	350	15,5424	45,5519
DSLAM-781	336	15,4998	45,3702
DSLAM-782	337	15,3099	45,568
DSLAM-783	261	15,1081	45,3896
DSLAM-784	41	15,5464	45,4177
DSLAM-785	104	15,3494	45,4487
DSLAM-786	301	15,2753	45,3281
DSLAM-787	156	15,5899	45,4818
DSLAM-788	369	15,5591	45,2407
DSLAM-789	389	15,7964	45,2309
DSLAM-790	385	15,3099	45,2288
DSLAM-791	193	18,4232	42,4986
DSLAM-792	195	16,406	43,6922
DSLAM-793	151	17,0132	43,655
DSLAM-794	317	16,566	43,6091
DSLAM-795	264	17,3946	43,0202
DSLAM-796	237	17,1394	43,1622
DSLAM-797	113	16,5762	43,6961
DSLAM-798	97	16,9831	43,4842
DSLAM-799	338	16,5381	43,5242
DSLAM-800	304	16,785	43,7942
DSLAM-801	366	16,6284	43,5382
DSLAM-802	374	17,0243	43,6044
DSLAM-803	142	17,3164	43,2878
DSLAM-804	64	16,0673	43,7504
DSLAM-805	161	16,4118	43,8184
DSLAM-806	328	17,1634	43,1901
DSLAM-807	211	16,7047	43,405
DSLAM-808	287	16,5595	43,577
DSLAM-809	157	17,0075	43,3576
DSLAM-810	219	16,1672	43,672
DSLAM-811	205	16,7118	43,8621
DSLAM-812	195	16,5012	43,532
DSLAM-813	350	16,5966	43,2744
DSLAM-814	181	16,5145	43,5738
DSLAM-815	396	16,9555	43,4705
DSLAM-816	308	16,8052	43,5269
DSLAM-817	282	16,8568	43,4356
DSLAM-818	366	16,4428	43,8485
DSLAM-819	187	15,9018	45,6142
DSLAM-820	166	15,9364	45,8711
DSLAM-821	126	16,0241	45,8406
DSLAM-822	201	16,6081	45,9251
DSLAM-823	236	15,7806	45,7946
DSLAM-824	106	16,0032	45,9377
DSLAM-825	107	15,8083	45,9865
DSLAM-826	191	16,2935	45,581
DSLAM-827	271	15,6357	45,7292
DSLAM-828	219	16,027	45,8217
DSLAM-829	98	16,0175	45,7411
DSLAM-830	213	16,1211	45,9524
DSLAM-831	261	16,1855	46,0323
DSLAM-832	288	16,172	45,8873
DSLAM-833	318	16,2811	45,6296
DSLAM-834	286	15,5071	45,73
DSLAM-835	240	15,9629	45,9933
DSLAM-836	71	15,8381	45,7339
DSLAM-837	321	16,0047	45,6228
DSLAM-838	267	15,7918	45,8626
DSLAM-839	67	16,5593	45,6361
DSLAM-840	90	16,0153	45,6699
DSLAM-841	218	15,7928	45,4221
DSLAM-842	367	16,1526	45,8246
DSLAM-843	282	16,0363	45,7419
DSLAM-844	352	16,0218	43,5364
DSLAM-845	273	16,0612	43,7632
DSLAM-846	135	16,0694	43,6985
DSLAM-847	107	15,4829	43,7346
DSLAM-848	167	16,3036	43,9751
DSLAM-849	94	15,9605	43,875
DSLAM-850	126	15,3287	44,3458
DSLAM-851	290	15,6869	44,0601
DSLAM-852	176	15,6436	43,9639
DSLAM-853	265	15,4204	43,9973
DSLAM-854	387	15,3781	44,2631
DSLAM-855	292	15,4075	44,012
DSLAM-856	77	15,3312	43,9127
DSLAM-857	68	15,3546	44,0213
DSLAM-858	382	15,0949	44,14
DSLAM-859	323	14,7984	44,0006
DSLAM-860	221	15,1943	44,3159
DSLAM-861	120	15,631	44,278
DSLAM-862	56	15,0977	44,1451
DSLAM-863	90	15,0806	44,1076
DSLAM-864	122	15,3258	44,1905
DSLAM-865	348	15,3727	44,2315
DSLAM-866	250	15,3066	44,4034
DSLAM-867	377	15,4953	43,9614
DSLAM-868	368	15,4601	44,006
DSLAM-869	265	14,7598	44,1843
DSLAM-870	319	15,4025	44,1483
DSLAM-871	365	15,2565	44,2197
DSLAM-872	42	15,9021	44,3575
DSLAM-873	85	14,7864	44,075
DSLAM-874	397	15,3955	44,4109
DSLAM-875	48	15,4262	44,4124
DSLAM-876	350	15,3559	43,865
DSLAM-877	243	15,4392	43,9578
DSLAM-878	217	14,7826	44,4019
DSLAM-879	252	15,0302	44,224
DSLAM-880	334	15,3583	44,0765
DSLAM-881	221	15,4024	44,298
DSLAM-882	275	15,7509	44,3625
DSLAM-883	339	15,7029	44,1888
DSLAM-884	187	15,8693	44,3109
DSLAM-885	238	15,5792	44,1346
DSLAM-886	120	15,2546	44,3216
DSLAM-887	293	15,0804	44,1851
DSLAM-888	211	16,4287	45,6101
DSLAM-889	135	16,2505	45,65
DSLAM-890	116	16,0551	46,0464
DSLAM-891	186	18,1462	42,7571
DSLAM-892	374	18,0077	42,7566
DSLAM-893	98	17,2109	43,0837
DSLAM-894	225	17,4758	43,0699
DSLAM-895	347	17,4936	42,7542
DSLAM-896	234	17,3607	43,1805
DSLAM-897	88	17,6679	42,8342
DSLAM-898	396	16,9467	43,1255
DSLAM-899	377	17,8254	42,7616
DSLAM-900	270	17,5525	43,0725
DSLAM-901	222	16,7255	42,8233
DSLAM-902	215	17,4748	42,8432
DSLAM-903	334	18,2135	42,5517
DSLAM-904	150	17,5978	43,0717
DSLAM-905	92	16,9212	42,8612
DSLAM-906	323	18,1609	42,3857
DSLAM-907	232	17,2488	42,9037
DSLAM-908	189	17,5981	43,1824
DSLAM-909	130	17,5482	43,125
DSLAM-910	183	17,7531	42,8955
DSLAM-911	235	17,4213	42,7463
DSLAM-912	230	18,4765	42,617
DSLAM-913	373	18,2478	42,6027
DSLAM-914	375	17,3323	42,6373
DSLAM-915	260	18,5	42,5907
DSLAM-916	209	18,1281	42,5946
DSLAM-917	321	15,7933	44,0538
DSLAM-918	378	15,7701	43,6772
DSLAM-919	300	15,9981	43,5965
DSLAM-920	51	16,2602	43,7306
DSLAM-921	209	15,7952	43,6918
DSLAM-922	373	15,6507	43,6914
DSLAM-923	269	16,0249	43,9444
DSLAM-924	203	15,9963	43,7792
DSLAM-925	352	15,9701	43,3743
DSLAM-926	183	16,0491	43,511
DSLAM-927	197	16,1683	43,8858
DSLAM-928	240	16,3702	43,9313
DSLAM-929	356	15,8117	43,9395
DSLAM-930	43	15,7337	43,8638
DSLAM-931	195	16,3027	44,3471
DSLAM-932	172	16,0699	43,7313
DSLAM-933	227	16,3071	43,7832
DSLAM-934	262	15,6627	43,8155
DSLAM-935	340	16,5195	43,8826
DSLAM-936	72	16,0605	43,7473
DSLAM-937	255	15,5969	43,8331
DSLAM-938	238	16,2409	43,6669
DSLAM-939	77	15,985	43,7258
DSLAM-940	41	15,9997	43,7495
DSLAM-941	134	15,8278	43,7234
DSLAM-942	63	15,8815	43,8022
DSLAM-943	91	15,7306	43,6047
DSLAM-944	136	15,8557	43,7275
DSLAM-945	335	15,8173	43,621
DSLAM-946	157	15,8258	43,7412
DSLAM-947	195	16,1706	43,6989
DSLAM-948	385	17,2272	43,2316
DSLAM-949	57	16,7217	42,9579
DSLAM-950	240	16,4109	43,6422
DSLAM-951	356	16,5536	43,6
DSLAM-952	247	16,7087	43,3758
DSLAM-953	64	16,6447	43,6833
DSLAM-954	102	16,8071	43,4525
DSLAM-955	60	16,2143	45,9681
DSLAM-956	328	16,5718	45,6174
DSLAM-957	395	16,66	46,0399
DSLAM-958	63	15,8995	45,6316
DSLAM-959	283	16,101	45,8027
DSLAM-960	167	15,8269	45,9607
DSLAM-961	67	15,86	45,7197
DSLAM-962	212	15,9638	45,9046
DSLAM-963	140	15,8899	45,7996
DSLAM-964	301	16,1965	45,6587
DSLAM-965	337	16,0267	45,7325
DSLAM-966	287	16,1886	45,9448
DSLAM-967	370	15,7694	45,6373
DSLAM-968	216	15,8038	43,9334
DSLAM-969	327	16,4651	43,4562
DSLAM-970	89	16,3176	43,4093
DSLAM-971	157	16,1914	43,5283
DSLAM-972	81	16,475	43,5307
DSLAM-973	67	17,2965	43,0529
DSLAM-974	235	16,6012	43,5784
DSLAM-975	72	16,4782	43,6923
DSLAM-976	400	16,6122	43,9731
DSLAM-977	277	16,0234	43,0476
DSLAM-978	320	16,3484	43,4639
DSLAM-979	342	16,3792	43,7915
DSLAM-980	193	16,695	43,5498
DSLAM-981	261	16,5991	43,7476
DSLAM-982	260	16,9245	43,5314
DSLAM-983	344	16,5994	43,615
DSLAM-984	268	16,7457	43,5307
DSLAM-985	364	17,2508	43,4988
DSLAM-1500	89	15,8816	45,7937
DSLAM-1501	69	15,9812	45,7272
DSLAM-1502	137	15,8338	45,5124
DSLAM-1503	132	16,2643	45,987
DSLAM-1504	275	16,4664	46,0925
DSLAM-1505	391	16,3031	45,7337
DSLAM-1506	254	16,6706	45,8668
DSLAM-1507	44	16,0366	45,5742
DSLAM-1508	46	16,2381	45,5871
DSLAM-1509	121	17,5483	42,7591
DSLAM-1510	170	17,7051	42,9709
DSLAM-1511	43	18,1667	42,6681
DSLAM-1512	72	17,7309	43,003
DSLAM-1513	57	18,1139	42,5128
DSLAM-1514	106	17,3647	42,9427
DSLAM-1515	234	17,7275	43,1566
DSLAM-1516	110	17,3208	42,7795
DSLAM-1517	232	18,3093	42,5518
DSLAM-1518	294	16,9814	43,1467
DSLAM-1519	63	17,9894	42,6347
DSLAM-1520	173	16,9646	42,6567
DSLAM-1521	382	17,8727	42,6926
DSLAM-1522	293	18,1634	42,7276
DSLAM-1523	359	18,0207	42,8592
DSLAM-1524	376	17,0119	42,9626
DSLAM-1525	373	17,0985	43,0435
DSLAM-1526	106	17,8433	42,5555
DSLAM-1527	262	18,1872	42,6757
DSLAM-1528	197	17,5545	42,9929
DSLAM-1529	242	17,61	42,9677
DSLAM-1530	45	18,2234	42,6408
DSLAM-1531	318	18,1251	42,5085
DSLAM-1532	50	17,474	43,1347
DSLAM-1533	275	18,5371	42,2967
DSLAM-1534	153	17,72	43,1798
DSLAM-1535	350	17,6308	43,1159
DSLAM-1536	288	17,0219	42,835
DSLAM-1537	85	17,5833	43,0418
DSLAM-1538	252	17,3878	43,2899
DSLAM-1539	290	18,3684	42,7308
DSLAM-1540	210	16,8362	45,4538
DSLAM-1541	74	16,8346	45,4768
DSLAM-1542	87	16,5406	45,3787
DSLAM-1543	181	16,4978	45,7276
DSLAM-1544	313	16,653	45,3377
DSLAM-1545	262	16,2329	45,2671
DSLAM-1546	75	17,0202	45,2274
DSLAM-1547	282	16,1998	45,4481
DSLAM-1548	247	16,3137	45,4987
DSLAM-1549	180	16,4572	45,6583
DSLAM-1550	192	15,6888	45,3758
DSLAM-2090	138	16,8812	43,7253
DSLAM-2091	292	16,477	43,6708
DSLAM-2092	344	16,741	43,1738
DSLAM-2093	125	16,6814	43,0631
DSLAM-2094	135	17,4775	43,0412
DSLAM-2095	352	16,3428	44,0111
DSLAM-2096	130	16,9865	43,6489
DSLAM-2097	198	16,2508	43,4282
DSLAM-2098	171	16,5442	43,8194
DSLAM-2099	290	17,0915	43,5454
DSLAM-2100	201	17,0721	43,2254
DSLAM-2101	84	17,371	43,3119
DSLAM-2102	191	16,6159	43,0572
DSLAM-2103	174	16,7975	43,0702
DSLAM-2104	168	16,7599	43,2461
DSLAM-2105	164	17,0249	43,4416
DSLAM-2106	357	16,3424	43,7067
DSLAM-2107	202	17,2211	43,4498
DSLAM-2108	160	16,7558	43,1136
DSLAM-2109	103	16,982	43,3301
DSLAM-2110	252	16,4586	43,6223
DSLAM-2111	223	16,6566	43,4374
DSLAM-2112	140	17,0255	43,1388
DSLAM-2113	145	16,6497	43,6327
DSLAM-2114	126	16,3761	43,3314
DSLAM-2115	282	16,3124	43,3256
DSLAM-2116	41	15,865	43,9043
DSLAM-2117	371	15,7633	43,6314
DSLAM-2118	344	15,9484	43,6578
DSLAM-2119	154	15,8606	45,6592
DSLAM-2120	342	16,0636	45,5857
DSLAM-2121	388	15,8026	45,9777
DSLAM-2122	95	16,0494	45,8515
DSLAM-2123	86	16,166	45,6927
DSLAM-2124	346	16,0343	45,8064
DSLAM-2125	206	16,0149	45,6635
DSLAM-2126	320	15,9391	45,9051
DSLAM-2127	237	15,9251	45,6472
DSLAM-2128	185	16,0758	45,4801
DSLAM-2129	390	15,826	45,9841
DSLAM-2130	321	15,7312	45,718
DSLAM-2131	131	16,204	45,6882
DSLAM-2132	74	16,4036	45,9751
DSLAM-2133	336	16,2048	45,6823
DSLAM-2134	99	15,5721	46,1094
DSLAM-2135	211	16,2986	45,5041
DSLAM-2136	275	16,113	45,6249
DSLAM-2137	46	15,7251	46,0003
DSLAM-2138	138	15,876	45,559
DSLAM-2139	75	15,9122	45,7614
DSLAM-2140	307	16,0309	46,0088
DSLAM-2141	329	16,3075	45,5561
DSLAM-2142	147	16,5262	45,9495
DSLAM-2143	108	16,508	45,8123
DSLAM-2144	157	15,8932	45,6627
DSLAM-2145	191	17,7535	45,4617
DSLAM-2146	138	17,464	45,7648
DSLAM-2147	272	17,6566	45,7152
DSLAM-2148	235	17,9534	45,7674
DSLAM-2149	223	17,7045	45,7103
DSLAM-2150	121	17,9892	45,4391
DSLAM-2151	335	17,5712	45,7911
DSLAM-2152	125	17,4983	45,6673
DSLAM-2153	150	17,5159	45,6334
DSLAM-2154	394	17,7631	45,7557
DSLAM-2155	295	17,3582	45,8198
DSLAM-2156	354	17,3849	45,6186
DSLAM-2157	353	17,6896	45,8041
DSLAM-2158	214	17,2979	45,8134
DSLAM-2159	179	17,4798	45,7169
DSLAM-2160	224	17,8433	45,9606
DSLAM-2161	48	17,4127	46,0599
DSLAM-2162	323	17,4395	45,8287
DSLAM-2163	53	17,4511	45,9109
DSLAM-2164	172	17,3376	46,056
DSLAM-2165	109	17,2498	45,9075
DSLAM-2166	62	17,1643	45,8278
DSLAM-2167	338	18,1679	45,559
DSLAM-2168	242	17,6556	45,8281
DSLAM-2169	260	17,4752	45,7076
DSLAM-2170	331	17,5217	45,8388
DSLAM-2171	92	17,3245	45,689
DSLAM-2172	187	17,3745	46,0753
DSLAM-2173	164	17,9709	45,4876
DSLAM-2174	180	17,944	45,7373
DSLAM-2175	374	17,8262	45,828
DSLAM-2176	385	17,2667	45,8984
DSLAM-2177	150	15,8401	43,6959
DSLAM-2178	83	15,7581	43,8308
DSLAM-2179	307	15,9115	43,5713
DSLAM-2180	356	16,1881	43,7142
DSLAM-2181	116	16,1354	43,7844
DSLAM-2182	82	16,3446	43,8243
DSLAM-2183	95	15,926	43,5697
DSLAM-2184	318	15,8606	43,8015
DSLAM-2185	380	16,1335	43,5369
DSLAM-2186	108	16,5698	44,0948
DSLAM-2187	138	16,3721	44,1456
DSLAM-2188	283	16,481	43,7494
DSLAM-2189	136	16,4781	43,7138
DSLAM-2190	266	16,3572	43,9685
DSLAM-2191	322	15,9015	43,5616
DSLAM-2192	188	15,6585	43,624
DSLAM-2193	364	15,8923	43,8369
DSLAM-2194	131	15,7814	43,5691
DSLAM-2195	139	15,6136	43,7163
DSLAM-2196	57	15,7448	43,8577
DSLAM-2197	178	16,3267	43,8571
DSLAM-2198	129	15,9441	43,954
DSLAM-2199	91	16,1986	43,8681
DSLAM-2200	286	16,1325	43,9228
DSLAM-2201	376	15,7128	45,6747
DSLAM-2202	142	16,5308	45,5704
DSLAM-2203	154	16,2161	45,7335
DSLAM-2204	299	15,7936	45,7333
DSLAM-2205	309	15,8746	45,789
DSLAM-2206	338	15,8636	45,7657
DSLAM-2207	355	16,1773	45,7189
DSLAM-2208	147	15,7635	45,6161
DSLAM-2209	210	16,0201	45,6852
DSLAM-2210	290	15,4737	45,8983
DSLAM-2211	359	15,6133	45,577
DSLAM-2212	41	15,9696	45,8448
DSLAM-2213	300	15,901	45,9661
DSLAM-2214	353	15,7197	45,7609
DSLAM-2215	187	16,2774	45,6762
DSLAM-2216	284	15,7485	45,8072
DSLAM-2217	335	16,3526	45,8618
DSLAM-2218	77	16,1387	45,7349
DSLAM-2219	219	15,9219	45,7033
DSLAM-2220	57	16,1722	45,8515
DSLAM-2221	335	15,8853	45,6754
DSLAM-986	168	17,0023	43,4775
DSLAM-987	191	16,7045	43,5615
DSLAM-988	323	17,2255	43,5194
DSLAM-989	287	16,948	43,3734
DSLAM-990	158	16,3914	43,8066
DSLAM-991	280	16,0318	43,7119
DSLAM-992	306	16,8149	43,2133
DSLAM-993	133	16,5947	43,5631
DSLAM-994	227	17,2444	43,635
DSLAM-995	58	16,4592	43,5637
DSLAM-996	287	16,2389	43,4021
DSLAM-997	281	16,8811	43,4755
DSLAM-998	264	16,5627	43,1706
DSLAM-999	202	16,2624	43,4369
DSLAM-1000	345	16,512	43,4938
DSLAM-1001	308	16,5915	43,8392
DSLAM-1002	308	16,5224	43,4295
DSLAM-1003	138	17,1244	43,4504
DSLAM-1004	180	16,9255	43,2344
DSLAM-1005	246	16,6675	43,8761
DSLAM-1006	315	16,2717	43,8262
DSLAM-1007	224	16,1261	43,3502
DSLAM-1008	55	16,9749	43,5766
DSLAM-1009	103	16,3209	43,4791
DSLAM-1010	207	17,1266	43,367
DSLAM-1011	181	16,6663	43,4494
DSLAM-1012	44	16,2506	43,3232
DSLAM-1013	284	17,3018	43,2436
DSLAM-1014	124	16,445	43,2189
DSLAM-1015	262	16,5387	43,0659
DSLAM-1016	316	16,1603	43,3483
DSLAM-1017	107	16,5793	43,7307
DSLAM-1018	296	16,7835	43,0743
DSLAM-1019	175	16,6293	43,5821
DSLAM-1020	382	16,6002	43,5028
DSLAM-1021	212	16,3643	43,7704
DSLAM-1022	180	16,8816	43,4065
DSLAM-1023	366	16,6879	43,5915
DSLAM-1024	253	16,4407	43,5222
DSLAM-1025	258	16,5711	43,4004
DSLAM-1026	73	16,2792	43,5357
DSLAM-1027	68	16,1527	43,4267
DSLAM-1028	208	16,8459	43,5542
DSLAM-1029	366	16,5767	43,8896
DSLAM-1030	341	16,5546	43,8026
DSLAM-1031	363	16,3165	43,4907
DSLAM-1032	276	16,353	43,3125
DSLAM-1033	256	16,7711	43,5493
DSLAM-1034	95	17,5464	43,2511
DSLAM-1035	265	16,3683	43,244
DSLAM-1036	287	16,9229	43,2802
DSLAM-1037	253	16,7608	43,6245
DSLAM-1038	357	16,4076	43,0191
DSLAM-1039	133	16,5816	43,5596
DSLAM-1040	221	16,6913	43,5094
DSLAM-1041	386	16,3697	43,5168
DSLAM-1042	255	17,167	43,0473
DSLAM-1043	334	17,0278	43,5225
DSLAM-1044	247	17,1129	43,1986
DSLAM-1045	275	16,7356	43,448
DSLAM-1046	73	16,5413	43,3474
DSLAM-1047	308	16,7601	43,5512
DSLAM-1048	323	16,1577	42,9077
DSLAM-1049	317	16,289	42,9313
DSLAM-1050	129	17,0211	42,9782
DSLAM-1051	382	16,0555	45,8752
DSLAM-1052	72	15,9873	45,7478
DSLAM-1053	43	16,0757	45,6235
DSLAM-1054	121	15,9794	45,9267
DSLAM-1055	225	16,6608	46,0258
DSLAM-1056	198	15,8908	45,9742
DSLAM-1057	199	15,9405	45,9828
DSLAM-1058	46	16,0692	45,6604
DSLAM-1059	244	16,0593	45,9102
DSLAM-1060	178	16,2032	45,9669
DSLAM-1061	398	15,9751	45,7
DSLAM-1062	365	15,9698	45,7033
DSLAM-1063	164	15,916	45,7205
DSLAM-1064	137	15,7953	45,7485
DSLAM-1065	210	15,6896	45,8511
DSLAM-1066	125	16,5394	45,5756
DSLAM-1067	287	16,0263	45,8395
DSLAM-1068	390	15,8203	45,6453
DSLAM-1069	123	15,9712	45,79
DSLAM-1070	111	15,9922	45,8818
DSLAM-1071	78	15,9709	45,6566
DSLAM-1072	366	15,7532	45,6555
DSLAM-1073	125	16,1257	45,8865
DSLAM-1074	131	16,0552	45,7422
DSLAM-1075	146	15,8241	45,5756
DSLAM-1076	92	16,1281	45,9355
DSLAM-1077	361	16,156	45,9326
DSLAM-1078	345	16,2016	45,992
DSLAM-1079	218	15,8676	45,9558
DSLAM-1080	353	15,6048	45,7635
DSLAM-1081	337	16,2707	45,8635
DSLAM-1082	187	15,7887	45,7582
DSLAM-1083	256	16,1346	45,7449
DSLAM-1084	97	16,0732	45,7005
DSLAM-1085	121	16,2155	45,7742
DSLAM-1086	118	16,0144	45,8678
DSLAM-1087	135	15,7347	45,8154
DSLAM-1088	241	15,934	45,767
DSLAM-1089	190	15,8385	45,8738
DSLAM-1090	109	16,3617	45,9169
DSLAM-1091	290	16,2073	45,8579
DSLAM-1092	276	16,134	45,6831
DSLAM-1093	162	15,6375	45,6255
DSLAM-1094	89	16,2834	45,9399
DSLAM-1095	175	16,0622	45,8168
DSLAM-1096	268	15,9086	45,7357
DSLAM-1097	235	15,8844	45,5904
DSLAM-1098	197	16,2641	45,7999
DSLAM-1099	370	16,1496	45,7536
DSLAM-1100	72	16,1034	45,6633
DSLAM-1101	96	16,0172	45,9952
DSLAM-1102	317	15,9146	45,8075
DSLAM-1103	335	15,7683	46,0746
DSLAM-1104	287	15,8356	45,6797
DSLAM-1105	371	15,683	45,8024
DSLAM-1106	270	16,2797	45,6428
DSLAM-1107	271	16,2	45,6302
DSLAM-1108	206	15,2483	45,9515
DSLAM-1109	62	15,9233	45,7346
DSLAM-1110	220	16,1018	45,7453
DSLAM-1111	280	16,0288	45,8328
DSLAM-1112	83	16,2825	45,748
DSLAM-1113	85	15,7916	45,7489
DSLAM-1114	106	15,424	45,7285
DSLAM-1115	213	17,0427	45,2856
DSLAM-1116	320	18,168	45,4143
DSLAM-1117	381	17,3959	45,4578
DSLAM-1118	46	17,5689	45,5787
DSLAM-1119	321	17,6699	45,5446
DSLAM-1120	174	17,1769	45,6327
DSLAM-1121	265	17,6262	45,6233
DSLAM-1122	352	17,3647	45,46
DSLAM-1123	77	17,7355	45,4474
DSLAM-1124	159	17,5907	45,4146
DSLAM-1125	171	17,1528	45,5483
DSLAM-1126	153	17,7119	45,3998
DSLAM-1127	330	17,1964	45,5559
DSLAM-1128	42	17,5475	45,4866
DSLAM-1129	253	17,6521	45,33
DSLAM-1130	380	17,9895	45,1255
DSLAM-1131	144	17,8715	45,2353
DSLAM-1132	102	16,9215	45,6143
DSLAM-1133	101	17,4814	45,5317
DSLAM-1134	310	17,8039	45,3059
DSLAM-1135	299	17,7295	45,4581
DSLAM-1136	332	16,9687	45,3272
DSLAM-1137	112	17,8756	45,4204
DSLAM-1138	346	17,632	45,4344
DSLAM-1139	392	17,9011	45,226
DSLAM-1140	280	18,1651	45,5535
DSLAM-1141	42	17,8708	45,0676
DSLAM-1142	344	17,5186	45,3138
DSLAM-1143	181	17,2278	45,4414
DSLAM-1144	184	17,1282	45,4131
DSLAM-1145	260	17,6844	45,5453
DSLAM-1146	144	18,5309	45,6824
DSLAM-1147	289	18,9043	45,7154
DSLAM-1148	82	18,6344	45,5144
DSLAM-1149	179	18,5498	45,4731
DSLAM-1150	216	18,7407	45,4103
DSLAM-1151	87	18,4863	45,8002
DSLAM-1152	144	18,0287	45,8834
DSLAM-1153	306	18,4616	45,6781
DSLAM-1154	289	18,1264	45,726
DSLAM-1155	145	18,569	45,5059
DSLAM-1156	149	18,7421	45,5939
DSLAM-1157	58	18,7267	45,7445
DSLAM-1158	328	18,7499	45,6437
DSLAM-1159	152	18,9268	45,7471
DSLAM-1160	78	18,6191	45,9369
DSLAM-1161	49	18,4113	45,1981
DSLAM-1162	248	18,6968	45,4698
DSLAM-1163	161	18,5006	45,2939
DSLAM-1164	104	18,5478	45,7435
DSLAM-1165	299	18,8475	45,5422
DSLAM-1166	129	18,7457	45,7989
DSLAM-1167	143	18,1394	45,4784
DSLAM-1168	241	18,0372	45,9006
DSLAM-1169	394	18,2329	45,3545
DSLAM-1170	310	18,1523	45,6854
DSLAM-1171	374	18,1519	45,3678
DSLAM-1172	235	18,3711	45,5506
DSLAM-1173	167	18,3447	45,095
DSLAM-1174	366	18,8008	45,2172
DSLAM-1175	79	18,1499	45,4685
DSLAM-1176	355	18,0827	45,2751
DSLAM-1177	107	15,4759	45,8363
DSLAM-1178	293	15,5606	45,8506
DSLAM-1179	195	16,1845	45,9693
DSLAM-1180	142	16,045	45,9703
DSLAM-1181	301	16,3293	45,9207
DSLAM-1182	105	15,9891	45,5323
DSLAM-1183	296	15,4375	45,646
DSLAM-1184	133	16,5457	45,5897
DSLAM-1185	71	16,128	45,8075
DSLAM-1186	371	15,7851	45,6953
DSLAM-1187	78	15,9746	45,68
DSLAM-1188	84	15,6527	45,7736
DSLAM-1189	343	15,9785	45,7972
DSLAM-1190	113	16,3345	45,8598
DSLAM-1191	239	16,1606	45,8712
DSLAM-1192	371	15,8626	45,9697
DSLAM-1193	388	16,2287	45,8267
DSLAM-1194	294	15,9718	45,8585
DSLAM-1195	62	15,7806	45,5138
DSLAM-1196	80	16,1515	45,7187
DSLAM-1197	399	15,472	45,6703
DSLAM-1198	337	16,0291	45,7644
DSLAM-1199	158	16,5958	45,9659
DSLAM-1200	212	15,8992	45,8389
DSLAM-1201	204	16,1024	45,8647
DSLAM-1202	337	15,8223	45,8127
DSLAM-1203	263	15,8305	45,8113
DSLAM-1204	234	15,7306	45,8022
DSLAM-1205	253	15,9959	45,6248
DSLAM-1206	194	15,751	45,7941
